2018 Seat Number,Seat Name,2013 Seat Number
NA-168,Bahawalnagar 3,NA-190
NA-169,Bahawalnagar 4,NA-191
NA-170,Bahawalpur 1,NA-183
NA-171,Bahawalpur 2,NA-184
NA-172,Bahawalpur 3,NA-185
NA-173,Bahawalpur 4,NA-186
NA-174,Bahawalpur 5,NA-187
NA-175,Rahim Yar Khan 1,NA-192
NA-176,Rahim Yar Khan 2,NA-193
NA-177,Rahim Yar Khan 3,NA-194
NA-178,Rahim Yar Khan 4,NA-195
NA-179,Rahim Yar Khan 5,NA-196
NA-180,Rahim Yar Khan 6,NA-197
NA-181,Muzaffargarh 1,NA-176
NA-182,Muzaffargarh 2,NA-177
NA-183,Muzaffargarh 3,NA-178
NA-184,Muzaffargarh 4,NA-179
NA-185,Muzaffargarh 5,NA-180
NA-186,Muzaffargarh 6,Newly Added
NA-187,Layyah 1,NA-181
NA-188,Layyah 2,NA-182
NA-189,Dera Ghazi Khan 1,NA-171
NA-190,Dera Ghazi Khan 2,NA-172
NA-191,Dera Ghazi Khan 3,NA-173
NA-192,Dera Ghazi Khan,Newly Added
NA-193,Rajanpur 1,NA-174
NA-194,Rajanpur 2,NA-175
NA-195,Rajanpur 3,NA-176
NA-196,JACOBABAD (OLD JACOBABAD-I),NA-208
NA-197,KASHMORE (OLD JACOBABAD-III),NA-210
NA-198,SHIKARPUR (OLD SHIKARPUR-I),NA-202
NA-199,SHEIKHUPUR-CUM-SUKKUR-CUM-LARKANA(OLD SHIKARPUR-II),NA-203
NA-200,Larkana (Old Larkana),NA-204
NA-201,LARKANA-CUM-KAMBER SHAHDADKOT (OLD LARKANA-II),NA-205
NA-202,KAMBER SHAHDADKOT (OLD LARKANA-III),NA-206
NA-203,LARKANA-CUM-SHIKHARPUR-CUM-KAMBER SHAHDADKOT (OLD LARKANA-IV,NA-207
NA-204,GHOTKI-I,NA-200
NA-205,GHOTKI-II,NA-201
NA-206,SUKKUR-CUM-SHIKARPUR(I)(OLD SUKKUR-I),NA-198
NA-207,SUKKUR-CUM-SHIKARPUR(II)(OLD SUKKUR-II),NA-199
NA-208,Khairpur 1,NA-215
NA-209,Khairpur 2,NA-216
NA-210,Khairpur 3,NA-217
NA-211,NAUSHEHRO FEROZ-I,NA-211
NA-212,NAUSHEHRO FEROZ-II,NA-212
NA-213,Nawabshah 1,NA-213
NA-214,Nawabshah 2,NA-214
NA-215,Sanghar 1,NA-234
NA-216,SANGHAR-CUM-MIRPURKHAS-CUM-UMERKOT(OLD SANGHAR-II),NA-235
NA-217,SANGHAR-II(OLD SNAGHAR-III),NA-236
NA-218,MIRPUR KHAS-CUM-UMERKOT (I) (OLD MIRPURKHAS-I),NA-226
NA-219,MIRPURKHAS-CUM-UMERKOT (II) (OLD MIRPURKHAS-II),NA-227
NA-220,UMERKOT(OLD MIRPURKHAS-III),NA-228
NA-221,Tharparkar 1,NA-229
NA-222,Tharparkar 2,NA-230
NA-223,MATIARI-CUM-HYDERABAD (OLD HYDERABAD-I),NA-218
NA-224,HYDERABAD-I (OLD HYDERABAD-II),NA-219
NA-225,HYDERABAD-II (OLD HYDERABAD-III),NA-220
NA-226,HYDERABAD-CUM-MATIARI (OLDHYDERABAD-IV),NA-221
NA-227,TANDO MUHAMMAD KHAN-CUM-HYDERABAD-CUM-BADIN (HYDERABAD-V),NA-222
NA-228,TANDO ALLAHYAR-CUM-MATIARI(OLD HYDERABAD-VI),NA-223
NA-229,BADIN-CUM-TANDO MUHAMMAD KHAN-I (OLD BADIN-I),NA-224
NA-230,BADIN-CUM-TANDO MUHAMMAD KHAN-II(OLD BADIN-II),NA-225
NA-231,Sujawal,Newly Added
NA-232,Thatta 1,NA-237
NA-233,JAMSHORO(OLD DADU-I),NA-231
NA-234,DADU-II(OLD DADU-III),NA-233
NA-235,DADU-I (OLD DADU-II),NA-232
NA-236,Karachi 19 - Malir 1,NA-257
NA-237,Karachi 20 - Malir 2,NA-258
NA-238,Karachi 21 - Malir 3,Newly Added
NA-239,Karachi 13 - South 4 and East - Korangi,NA-251
NA-240,Karachi 18 - East 5 - Korangi,NA-256
NA-241,Karachi - Korangi 3,Newly Added
NA-242,Karachi 14 - East 1,NA-252
NA-243,Karachi 15 - East 2,NA-253
NA-244,Karachi 16 - East 3,NA-254
NA-245,Karachi 17 - East 4 and Malir,NA-255
NA-246,Karachi 10 - South 1,NA-248
NA-247,Karachi 11 - South 2,NA-249
NA-248,Karachi 1 - West 1,NA-239
NA-249,Karachi 2 - West 2,NA-240
NA-250,Karachi 3 - West 3,NA-241
NA-251,Karachi 4 - West 4,NA-242
NA-252,Karachi - West 5,Newly Added
NA-253,Karachi 5 - Central 1,NA-243
NA-254,Karachi 6 - Central 2,NA-244
NA-255,Karachi 7 - Central 3,NA-245
NA-256,Karachi 8 - Central 4,NA-246
NA-257,Zhob-cum-Sherani-cum- Killa Saifullah,NA-264
NA-258,Loralai-cum-Musakhel-cum-Barkhan,NA-263
NA-259,Sibi-cum-Kohlu-cum-Dera Bugti- cum-Harani,NA-265
NA-260,Nasirabad-cum- Jaffarabad,NA-266
NA-261,Jaffarabad-cum-Sohbapur,Newly Added
NA-262,Pishin-cum-Ziarat,NA-261
NA-263,Killa Abdullah,NA-262
NA-264,Quetta,NA-259
NA-265,Quetta-cum-Chagai-cum-Nushki-cum-Mastung,NA-260
NA-266,Quetta 3,Newly Added
NA-267,Kalat-cum-Mastung,NA-268
NA-268,Chaghai-Kum-Nushki-cum-Kharan,Newly Added
NA-269,Khuzdar,NA-269
NA-270,Kharan-cum-Washuk-cum-Panjgur,NA-271
NA-271,Awaran-cum-Lasbela,NA-270
NA-272,Kech-cum-Gwadar,NA-272
Old Constituency Changed Considerably,Karachi 9 - Central 5,NA-247
Old Constituency Changed Considerably,Karachi 12 - South 3,NA-250
Old Constituency Changed Considerably,Attock III,NA-059
Old Constituency Changed Considerably,Faisalabad 11,NA-085
Old Constituency Changed Considerably,Jhang- Cum-Chiniot (Old NA-87 Jhang-II),NA-088
Old Constituency Changed Considerably,Gujaranwala 7,NA-101
Old Constituency Changed Considerably,Hafizabad 2,NA-103
Old Constituency Changed Considerably,Narowal 3,NA-117
Old Constituency Changed Considerably,Nankana Sahib-III (Old Sheikhupra-VII),NA-137
Old Constituency Changed Considerably,Kasur 5,NA-142
Old Constituency Changed Considerably,Okara 5,NA-147
Old Constituency Changed Considerably,Sahiwal 4,NA-163
Old Constituency Changed Considerably,Pakpattan 3,NA-166
Old Constituency Changed Considerably,JACOBABAD-CUM-KASHMORE(OLD JACOBABAD-II),NA-209
Old Constituency Changed Considerably,Thatta 2,NA-238
Old Constituency Changed Considerably,Kachhi-cum-Jhal Magsi,NA-267
